Match ID,Date,Home Team,Away Team,Stadium,Home Score,Away Score
5557,Sunday 7 May 2006,Arsenal,Wigan,"Highbury, London",4,2
5558,Sunday 7 May 2006,Aston Villa,Sunderland,"Villa Park, Birmingham",2,1
5559,Sunday 7 May 2006,Blackburn,Man City,"Ewood Park, Blackburn",2,0
5560,Sunday 7 May 2006,Bolton,Birmingham,"Macron Stadium, Bolton",1,0
5561,Sunday 7 May 2006,Everton,West Brom,"Goodison Park, Liverpool",2,2
5562,Sunday 7 May 2006,Fulham,Middlesbrough,"Craven Cottage, London",1,0
5563,Sunday 7 May 2006,Man Utd,Charlton,"Old Trafford, Manchester",4,0
5564,Sunday 7 May 2006,Newcastle,Chelsea,"Sports Direct Arena, Newcastle",1,0
5565,Sunday 7 May 2006,Portsmouth,Liverpool,"Fratton Park, Portsmouth",1,3
5566,Sunday 7 May 2006,West Ham,Spurs,"Boleyn Ground, London",2,1
5555,Thursday 4 May 2006,Man City,Arsenal,"Etihad Stadium, Manchester",1,3
5556,Thursday 4 May 2006,Sunderland,Fulham,"Stadium of Light, Sunderland",2,1
5554,Wednesday 3 May 2006,Bolton,Middlesbrough,"Macron Stadium, Bolton",1,1
5553,Tuesday 2 May 2006,Blackburn,Chelsea,"Ewood Park, Blackburn",1,0
5551,Monday 1 May 2006,Sunderland,Arsenal,"Stadium of Light, Sunderland",0,3
5550,Monday 1 May 2006,Man Utd,Middlesbrough,"Old Trafford, Manchester",0,0
5552,Monday 1 May 2006,West Brom,West Ham,"The Hawthorns, West Bromwich",0,1
5549,Sunday 30 April 2006,Spurs,Bolton,"White Hart Lane, London",1,0
5544,Saturday 29 April 2006,Chelsea,Man Utd,"Stamford Bridge, London",3,0
5542,Saturday 29 April 2006,Birmingham,Newcastle,"St Andrews, Birmingham",0,0
5545,Saturday 29 April 2006,Liverpool,Aston Villa,"Anfield, Liverpool",3,1
5546,Saturday 29 April 2006,Man City,Fulham,"Etihad Stadium, Manchester",1,2
5547,Saturday 29 April 2006,Middlesbrough,Everton,"Riverside Stadium, Middlesbrough",0,1
5548,Saturday 29 April 2006,Wigan,Portsmouth,"DW Stadium, Wigan",1,2
5543,Saturday 29 April 2006,Charlton,Blackburn,"The Valley, London",0,2
5541,Wednesday 26 April 2006,West Ham,Liverpool,"Boleyn Ground, London",1,2
5540,Tuesday 25 April 2006,Aston Villa,Man City,"Villa Park, Birmingham",0,1
5539,Monday 24 April 2006,Fulham,Wigan,"Craven Cottage, London",1,0
5534,Saturday 22 April 2006,Arsenal,Spurs,"Highbury, London",1,1
5535,Saturday 22 April 2006,Bolton,Charlton,"Macron Stadium, Bolton",4,1
5536,Saturday 22 April 2006,Everton,Birmingham,"Goodison Park, Liverpool",0,0
5537,Saturday 22 April 2006,Newcastle,West Brom,"Sports Direct Arena, Newcastle",3,0
5538,Saturday 22 April 2006,Portsmouth,Sunderland,"Fratton Park, Portsmouth",2,1
5533,Wednesday 19 April 2006,Birmingham,Blackburn,"St Andrews, Birmingham",2,1
5532,Tuesday 18 April 2006,Wigan,Aston Villa,"DW Stadium, Wigan",3,2
5526,Monday 17 April 2006,Charlton,Portsmouth,"The Valley, London",2,1
5527,Monday 17 April 2006,Chelsea,Everton,"Stamford Bridge, London",3,0
5528,Monday 17 April 2006,Middlesbrough,West Ham,"Riverside Stadium, Middlesbrough",2,0
5529,Monday 17 April 2006,Sunderland,Newcastle,"Stadium of Light, Sunderland",1,4
5531,Monday 17 April 2006,West Brom,Bolton,"The Hawthorns, West Bromwich",0,0
5530,Monday 17 April 2006,Spurs,Man Utd,"White Hart Lane, London",1,2
5524,Sunday 16 April 2006,Aston Villa,Birmingham,"Villa Park, Birmingham",3,1
5525,Sunday 16 April 2006,Blackburn,Liverpool,"Ewood Park, Blackburn",0,1
5518,Saturday 15 April 2006,Bolton,Chelsea,"Macron Stadium, Bolton",0,2
5517,Saturday 15 April 2006,Arsenal,West Brom,"Highbury, London",3,1
5519,Saturday 15 April 2006,Everton,Spurs,"Goodison Park, Liverpool",0,1
5520,Saturday 15 April 2006,Fulham,Charlton,"Craven Cottage, London",2,1
5521,Saturday 15 April 2006,Newcastle,Wigan,"Sports Direct Arena, Newcastle",3,1
5522,Saturday 15 April 2006,Portsmouth,Middlesbrough,"Fratton Park, Portsmouth",1,0
5523,Saturday 15 April 2006,West Ham,Man City,"Boleyn Ground, London",1,0
5516,Friday 14 April 2006,Man Utd,Sunderland,"Old Trafford, Manchester",0,0
5515,Wednesday 12 April 2006,Portsmouth,Arsenal,"Fratton Park, Portsmouth",1,1
5510,Sunday 9 April 2006,Aston Villa,West Brom,"Villa Park, Birmingham",0,0
5511,Sunday 9 April 2006,Chelsea,West Ham,"Stamford Bridge, London",4,1
5512,Sunday 9 April 2006,Liverpool,Bolton,"Anfield, Liverpool",1,0
5514,Sunday 9 April 2006,Middlesbrough,Newcastle,"Riverside Stadium, Middlesbrough",1,2
5513,Sunday 9 April 2006,Man Utd,Arsenal,"Old Trafford, Manchester",2,0
5508,Saturday 8 April 2006,Spurs,Man City,"White Hart Lane, London",2,1
5506,Saturday 8 April 2006,Charlton,Everton,"The Valley, London",0,0
5507,Saturday 8 April 2006,Portsmouth,Blackburn,"Fratton Park, Portsmouth",2,2
5509,Saturday 8 April 2006,Wigan,Birmingham,"DW Stadium, Wigan",1,1
5505,Tuesday 4 April 2006,Birmingham,Bolton,"St Andrews, Birmingham",1,0
5504,Monday 3 April 2006,Blackburn,Wigan,"Ewood Park, Blackburn",1,1
5502,Sunday 2 April 2006,Man City,Middlesbrough,"Etihad Stadium, Manchester",0,1
5503,Sunday 2 April 2006,West Ham,Charlton,"Boleyn Ground, London",0,0
5496,Saturday 1 April 2006,Birmingham,Chelsea,"St Andrews, Birmingham",0,0
5495,Saturday 1 April 2006,Arsenal,Aston Villa,"Highbury, London",5,0
5497,Saturday 1 April 2006,Bolton,Man Utd,"Macron Stadium, Bolton",1,2
5498,Saturday 1 April 2006,Everton,Sunderland,"Goodison Park, Liverpool",2,2
5499,Saturday 1 April 2006,Fulham,Portsmouth,"Craven Cottage, London",1,3
5500,Saturday 1 April 2006,Newcastle,Spurs,"Sports Direct Arena, Newcastle",3,1
5501,Saturday 1 April 2006,West Brom,Liverpool,"The Hawthorns, West Bromwich",0,2
5494,Wednesday 29 March 2006,Man Utd,West Ham,"Old Trafford, Manchester",1,0
5493,Monday 27 March 2006,Spurs,West Brom,"White Hart Lane, London",2,1
5492,Sunday 26 March 2006,Middlesbrough,Bolton,"Riverside Stadium, Middlesbrough",4,3
5490,Sunday 26 March 2006,Charlton,Newcastle,"The Valley, London",3,1
5491,Sunday 26 March 2006,Man Utd,Birmingham,"Old Trafford, Manchester",3,0
5485,Saturday 25 March 2006,Aston Villa,Fulham,"Villa Park, Birmingham",0,0
5486,Saturday 25 March 2006,Chelsea,Man City,"Stamford Bridge, London",2,0
5488,Saturday 25 March 2006,Sunderland,Blackburn,"Stadium of Light, Sunderland",0,1
5487,Saturday 25 March 2006,Liverpool,Everton,"Anfield, Liverpool",3,1
5489,Saturday 25 March 2006,Wigan,West Ham,"DW Stadium, Wigan",1,2
5484,Sunday 19 March 2006,Newcastle,Liverpool,"Sports Direct Arena, Newcastle",1,3
5483,Sunday 19 March 2006,Fulham,Chelsea,"Craven Cottage, London",1,0
5479,Saturday 18 March 2006,Everton,Aston Villa,"Goodison Park, Liverpool",4,1
5475,Saturday 18 March 2006,Arsenal,Charlton,"Highbury, London",3,0
5477,Saturday 18 March 2006,Blackburn,Middlesbrough,"Ewood Park, Blackburn",3,2
5478,Saturday 18 March 2006,Bolton,Sunderland,"Macron Stadium, Bolton",2,0
5480,Saturday 18 March 2006,Man City,Wigan,"Etihad Stadium, Manchester",0,1
5481,Saturday 18 March 2006,West Brom,Man Utd,"The Hawthorns, West Bromwich",1,2
5482,Saturday 18 March 2006,West Ham,Portsmouth,"Boleyn Ground, London",2,4
5476,Saturday 18 March 2006,Birmingham,Spurs,"St Andrews, Birmingham",0,2
5474,Wednesday 15 March 2006,Liverpool,Fulham,"Anfield, Liverpool",5,1
5473,Sunday 12 March 2006,Man Utd,Newcastle,"Old Trafford, Manchester",2,0
5472,Sunday 12 March 2006,Charlton,Middlesbrough,"The Valley, London",2,1
5471,Sunday 12 March 2006,Arsenal,Liverpool,"Highbury, London",2,1
5464,Saturday 11 March 2006,Birmingham,West Brom,"St Andrews, Birmingham",1,1
5467,Saturday 11 March 2006,Chelsea,Spurs,"Stamford Bridge, London",2,1
5466,Saturday 11 March 2006,Bolton,West Ham,"Macron Stadium, Bolton",4,1
5468,Saturday 11 March 2006,Everton,Fulham,"Goodison Park, Liverpool",3,1
5469,Saturday 11 March 2006,Portsmouth,Man City,"Fratton Park, Portsmouth",2,1
5470,Saturday 11 March 2006,Sunderland,Wigan,"Stadium of Light, Sunderland",0,1
5465,Saturday 11 March 2006,Blackburn,Aston Villa,"Ewood Park, Blackburn",2,0
5463,Monday 6 March 2006,Wigan,Man Utd,"DW Stadium, Wigan",1,2
5461,Sunday 5 March 2006,Man City,Sunderland,"Etihad Stadium, Manchester",2,1
5462,Sunday 5 March 2006,Spurs,Blackburn,"White Hart Lane, London",3,2
5459,Saturday 4 March 2006,West Brom,Chelsea,"The Hawthorns, West Bromwich",1,2
5454,Saturday 4 March 2006,Aston Villa,Portsmouth,"Villa Park, Birmingham",1,0
5455,Saturday 4 March 2006,Fulham,Arsenal,"Craven Cottage, London",0,4
5457,Saturday 4 March 2006,Middlesbrough,Birmingham,"Riverside Stadium, Middlesbrough",1,0
5458,Saturday 4 March 2006,Newcastle,Bolton,"Sports Direct Arena, Newcastle",3,1
5460,Saturday 4 March 2006,West Ham,Everton,"Boleyn Ground, London",2,2
5456,Saturday 4 March 2006,Liverpool,Charlton,"Anfield, Liverpool",0,0
5452,Sunday 26 February 2006,Liverpool,Man City,"Anfield, Liverpool",1,0
5451,Sunday 26 February 2006,Bolton,Fulham,"Macron Stadium, Bolton",2,1
5453,Sunday 26 February 2006,West Brom,Middlesbrough,"The Hawthorns, West Bromwich",0,2
5446,Saturday 25 February 2006,Birmingham,Sunderland,"St Andrews, Birmingham",1,0
5447,Saturday 25 February 2006,Blackburn,Arsenal,"Ewood Park, Blackburn",1,0
5448,Saturday 25 February 2006,Charlton,Aston Villa,"The Valley, London",0,0
5450,Saturday 25 February 2006,Newcastle,Everton,"Sports Direct Arena, Newcastle",2,0
5449,Saturday 25 February 2006,Chelsea,Portsmouth,"Stamford Bridge, London",2,0
5445,Wednesday 22 February 2006,Newcastle,Charlton,"Sports Direct Arena, Newcastle",0,0
5444,Sunday 19 February 2006,Spurs,Wigan,"White Hart Lane, London",2,2
5443,Wednesday 15 February 2006,Blackburn,Sunderland,"Ewood Park, Blackburn",2,0
5442,Tuesday 14 February 2006,Liverpool,Arsenal,"Anfield, Liverpool",1,0
5441,Monday 13 February 2006,West Ham,Birmingham,"Boleyn Ground, London",3,0
5440,Sunday 12 February 2006,Sunderland,Spurs,"Stadium of Light, Sunderland",1,1
5439,Sunday 12 February 2006,Man City,Charlton,"Etihad Stadium, Manchester",3,2
5438,Saturday 11 February 2006,Wigan,Liverpool,"DW Stadium, Wigan",0,1
5432,Saturday 11 February 2006,Arsenal,Bolton,"Highbury, London",1,1
5433,Saturday 11 February 2006,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2
5434,Saturday 11 February 2006,Everton,Blackburn,"Goodison Park, Liverpool",1,0
5435,Saturday 11 February 2006,Fulham,West Brom,"Craven Cottage, London",6,1
5436,Saturday 11 February 2006,Middlesbrough,Chelsea,"Riverside Stadium, Middlesbrough",3,0
5437,Saturday 11 February 2006,Portsmouth,Man Utd,"Fratton Park, Portsmouth",1,3
5431,Wednesday 8 February 2006,Charlton,Liverpool,"The Valley, London",2,0
5430,Sunday 5 February 2006,Spurs,Charlton,"White Hart Lane, London",3,1
5429,Sunday 5 February 2006,Chelsea,Liverpool,"Stamford Bridge, London",2,0
5421,Saturday 4 February 2006,Birmingham,Arsenal,"St Andrews, Birmingham",0,2
5422,Saturday 4 February 2006,Bolton,Wigan,"Macron Stadium, Bolton",1,1
5423,Saturday 4 February 2006,Everton,Man City,"Goodison Park, Liverpool",1,0
5425,Saturday 4 February 2006,Middlesbrough,Aston Villa,"Riverside Stadium, Middlesbrough",0,4
5426,Saturday 4 February 2006,Newcastle,Portsmouth,"Sports Direct Arena, Newcastle",2,0
5427,Saturday 4 February 2006,West Brom,Blackburn,"The Hawthorns, West Bromwich",2,0
5428,Saturday 4 February 2006,West Ham,Sunderland,"Boleyn Ground, London",2,0
5424,Saturday 4 February 2006,Man Utd,Fulham,"Old Trafford, Manchester",4,2
5416,Wednesday 1 February 2006,Aston Villa,Chelsea,"Villa Park, Birmingham",1,1
5419,Wednesday 1 February 2006,Man City,Newcastle,"Etihad Stadium, Manchester",3,0
5420,Wednesday 1 February 2006,Portsmouth,Bolton,"Fratton Park, Portsmouth",1,1
5415,Wednesday 1 February 2006,Arsenal,West Ham,"Highbury, London",2,3
5417,Wednesday 1 February 2006,Blackburn,Man Utd,"Ewood Park, Blackburn",4,3
5418,Wednesday 1 February 2006,Liverpool,Birmingham,"Anfield, Liverpool",1,1
5413,Tuesday 31 January 2006,Sunderland,Middlesbrough,"Stadium of Light, Sunderland",0,3
5414,Tuesday 31 January 2006,Wigan,Everton,"DW Stadium, Wigan",1,1
5411,Tuesday 31 January 2006,Charlton,West Brom,"The Valley, London",0,0
5412,Tuesday 31 January 2006,Fulham,Spurs,"Craven Cottage, London",1,0
5410,Monday 23 January 2006,West Ham,Fulham,"Boleyn Ground, London",2,1
5408,Sunday 22 January 2006,Chelsea,Charlton,"Stamford Bridge, London",1,1
5409,Sunday 22 January 2006,Man Utd,Liverpool,"Old Trafford, Manchester",1,0
5407,Saturday 21 January 2006,West Brom,Sunderland,"The Hawthorns, West Bromwich",0,1
5403,Saturday 21 January 2006,Everton,Arsenal,"Goodison Park, Liverpool",1,0
5401,Saturday 21 January 2006,Birmingham,Portsmouth,"St Andrews, Birmingham",5,0
5402,Saturday 21 January 2006,Bolton,Man City,"Macron Stadium, Bolton",2,0
5404,Saturday 21 January 2006,Middlesbrough,Wigan,"Riverside Stadium, Middlesbrough",2,3
5405,Saturday 21 January 2006,Newcastle,Blackburn,"Sports Direct Arena, Newcastle",0,1
5406,Saturday 21 January 2006,Spurs,Aston Villa,"White Hart Lane, London",0,0
5400,Sunday 15 January 2006,Wigan,West Brom,"DW Stadium, Wigan",0,1
5399,Sunday 15 January 2006,Sunderland,Chelsea,"Stadium of Light, Sunderland",1,2
5397,Saturday 14 January 2006,Man City,Man Utd,"Etihad Stadium, Manchester",3,1
5391,Saturday 14 January 2006,Arsenal,Middlesbrough,"Highbury, London",7,0
5392,Saturday 14 January 2006,Aston Villa,West Ham,"Villa Park, Birmingham",1,2
5394,Saturday 14 January 2006,Charlton,Birmingham,"The Valley, London",2,0
5395,Saturday 14 January 2006,Fulham,Newcastle,"Craven Cottage, London",1,0
5396,Saturday 14 January 2006,Liverpool,Spurs,"Anfield, Liverpool",1,0
5398,Saturday 14 January 2006,Portsmouth,Everton,"Fratton Park, Portsmouth",0,1
5393,Saturday 14 January 2006,Blackburn,Bolton,"Ewood Park, Blackburn",0,0
5390,Wednesday 4 January 2006,Man City,Spurs,"Etihad Stadium, Manchester",0,2
5389,Tuesday 3 January 2006,Arsenal,Man Utd,"Highbury, London",0,0
5387,Monday 2 January 2006,West Brom,Aston Villa,"The Hawthorns, West Bromwich",1,2
5388,Monday 2 January 2006,West Ham,Chelsea,"Boleyn Ground, London",1,3
5381,Monday 2 January 2006,Birmingham,Wigan,"St Andrews, Birmingham",2,0
5383,Monday 2 January 2006,Bolton,Liverpool,"Macron Stadium, Bolton",2,2
5384,Monday 2 January 2006,Everton,Charlton,"Goodison Park, Liverpool",3,1
5385,Monday 2 January 2006,Fulham,Sunderland,"Craven Cottage, London",2,1
5386,Monday 2 January 2006,Newcastle,Middlesbrough,"Sports Direct Arena, Newcastle",2,2
5382,Monday 2 January 2006,Blackburn,Portsmouth,"Ewood Park, Blackburn",2,1
5371,Saturday 31 December 2005,Aston Villa,Arsenal,"Villa Park, Birmingham",0,0
5372,Saturday 31 December 2005,Charlton,West Ham,"The Valley, London",2,0
5373,Saturday 31 December 2005,Chelsea,Birmingham,"Stamford Bridge, London",2,0
5379,Saturday 31 December 2005,Spurs,Newcastle,"White Hart Lane, London",2,0
5374,Saturday 31 December 2005,Liverpool,West Brom,"Anfield, Liverpool",1,0
5375,Saturday 31 December 2005,Man Utd,Bolton,"Old Trafford, Manchester",4,1
